NAME,SEEDS,LEECHES,TIME,SIZE,UPLOADER
Young Sheldon S03E15 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],11,3,10am Feb. 23rd,183.7 MB11,UTRCorp
Young Sheldon S03E16 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,20,3,5am Feb. 23rd,197.4 MB20,UTRCorp
Strike Back S08E02 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,35,8,5am Feb. 23rd,471.7 MB35,UTRCorp
Color Out of Space (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],18,8,5am Feb. 23rd,2.1 GB18,UTRCorp
Color Out of Space (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR],6,5,5am Feb. 23rd,1.4 GB6,UTRCorp
Harley Quinn S01E13 (2160p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],10,3,8am Feb. 22nd,698.2 MB10,UTRCorp
Outlander S05E01 (2160p NF WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,7,8,8am Feb. 22nd,1.9 GB7,UTRCorp
Terminator Dark Fate (2019) (1080p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]6,83,11,8am Feb. 22nd,1.7 GB83,UTRCorp
Ford v Ferrari (2019) (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]3,18,7,8am Feb. 22nd,7.0 GB18,UTRCorp
Ford v Ferrari (2019) REPACK (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UTR]2,27,6,10am Feb. 21st,3.8 GB27,UTRCorp
Terminator Dark Fate (2019) REPACK (2160p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]9,15,2,10am Feb. 21st,6.0 GB15,UTRCorp
Jojo Rabbit (2019) REPACK (2160p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,12,4,10am Feb. 21st,4.9 GB12,UTRCorp
Ford v Ferrari (2019) REPACK (1080p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]1,9,3,10am Feb. 21st,2.0 GB9,UTRCorp
Stumptown S01E15 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],7,0,10am Feb. 21st,426.5 MB7,UTRCorp
Modern Family S11E14 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],14,3,10am Feb. 21st,212.4 MB14,UTRCorp
